Date	Time	Abs-Peak	Ts
2021-07-08	10:58	0.334841629	229.7794118
2021-07-19	10:00	0	0
2021-07-20	9:39	0.483271375	392.1568627
2021-07-20	14:26	0.151624549	284.6569883
2021-07-21	11:45	0	0
2021-07-28	10:40	0.407272727	108.4245907
2021-07-28	15:09	0.332892999	120.7729469
2021-08-04	14:09	0.411764706	357.1428571
2021-08-09	10:28	0.329979879	391.5426782
2021-08-16	13:40	0	284.5759818
