Date	Time	Abs-Peak	Ts
2021-07-08	11:12	0.334841629	229.7794118
2021-07-19	10:05	0.333848532	228.3105023
2021-07-23	10:26	0.419182948	232.5581395
2021-07-28	12:12	0.390572391	221.0921954
2021-08-04	14:34	0.428265525	226.7059624
2021-08-09	10:38	0.756756757	243.3090024
2021-08-16	10:16	0.461273666	273.000273
